Yard Name,City,State,Address,Zip Code
Albuquerque,Albuquerque,NM,7705 Broadway Blvd SE,87105
Newburgh,Marlboro,NY,25 Riverview Dr,12542
Syracuse,Central Square,NY,46 Zuk-Pierce Rd,13036
Long Island,Brookhaven,NY,1983 Montauk Hwy,11719
Rochester,Leroy,NY,4 West Ave,14482
Albany,Albany,NY,1916 Central Ave,12205
Buffalo,Angola,NY,8418 Southwestern Blvd,14006
Raleigh,Dunn,NC,310 Copart Rd,28334
Raleigh North,Raleigh,NC,6400 Old Smithfield Rd,27603
Concord,Concord,NC,7940 US Highway 601 S,28025
Lumberton,Lumberton,NC,4019 NC 72 Hwy W,28360
Gastonia,Gastonia,NC,3060 Fairview Dr,28052
China Grove,China Grove,NC,1081 Recovery Rd,28023
Mebane,Mebane,NC,1870 US 70 Hwy,27302
Bismarck,Bismarck,ND,3700 Apple Creek Rd,58504
Columbus,Columbus,OH,1680 Williams Rd,43207
Cleveland East,Northfield,OH,286 E Twinsburg Rd,44067
Cleveland West,Columbia Station,OH,34417 E Royalton Rd,44028
Dayton,Moraine,OH,4691 Springboro Pike,45439
Cincinnati,Cincinnati,OH,4568 Muhlhauser Rd,45011
Oklahoma City,Oklahoma City,OK,2829 SE 15th St,73129
Tulsa,Tulsa,OK,2408 W 21st St,74107
Portland North,Portland,OR,6900 NE Cornfoot Dr,97218
Portland South,Woodburn,OR,2885 National Way,97071
Eugene,Eugene,OR,29815 E Enid Rd,97402
Philadelphia,Pennsburg,PA,2704 Geryville Pike,18073
Philadelphia East,Chalfont,PA,77 Bristol Road,18914
Harrisburg,Grantville,PA,8 Park Drive,17028
York Haven,York Haven,PA,795 Sipe Rd,17370
Chambersburg,Chambersburg,PA,2962 Lincoln Way W,17202
Pittsburgh South,West Mifflin,PA,526 Thompson Run Rd,15122
Pittsburgh North,Ellwood City,PA,2000 River Road,16117
Pittsburgh East,Adamsburg,PA,133 Asphalt Lane,15611
Altoona,Ebensburg,PA,4007 Admiral Peary Hwy,15931
Scranton,Duryea,PA,210 Mcalpine St,18642
Exeter,Exeter,RI,10 Industrial Dr,02822
Columbia SC,Gaston,SC,4324 Hwy 321 S,29053
North Charleston,Harleyville,SC,120 Commerce Dr,29448
Spartanburg,Spartanburg,SC,1922 Nazareth Church Rd,29301
Rapid City,Rapid City,SD,2170 Seger Dr,57701
Nashville,Lebanon,TN,865 Stumpy Lane,37090
Memphis,Memphis,TN,5545 Swinnea Rd,38118
Knoxville,Madisonville,TN,6355 B Hwy 411,37354
Houston,Houston,TX,1655 Rankin Road,77073
Houston East,Houston,TX,2535 West Lake Houston Pkwy,77339
Dallas,Grand Prairie,TX,505 Idlewild Rd,75051
Dallas South,Wilmer,TX,1701 East Beltline Rd,75172
Fort Worth,Haslet,TX,950 Blue Mound Rd W,76052
San Antonio,San Antonio,TX,11130 Applewhite Rd,78224
Austin,New Braunfels,TX,8725 IH-35 N,78130
Corpus Christi,Corpus Christi,TX,3200 Agnes St,78405
Amarillo,Amarillo,TX,3999 S Loop 335 E,79118
Abilene,Abilene,TX,2630 FM 3034,79601
El Paso,Anthony,TX,501 Valley Chili Rd,79821
McAllen,Mercedes,TX,301 Mile 1 East,78570
Lufkin,Lufkin,TX,3700 Old Union Rd,75904
Longview,Longview,TX,3046 Highway 322 S,75603
Waco,Temple,TX,7201 N General Bruce Dr,76501
Andrews,Andrews,TX,1975 SW 860,79714
Salt Lake City North,North Salt Lake,UT,170 W Center St,84054
Salt Lake City,Magna,UT,7320 W 2100 S,84044
Farr West,Farr West,UT,3586 N 2000 W,84404
Rutland,Center Rutland,VT,29 Old Route 4A,05736
Richmond,Sandston,VA,5701 Whiteside Rd,23150
Fredericksburg,Fredericksburg,VA,4717 Massaponax Church Rd,22408
Charles City,Charles City,VA,6300 Chambers Rd,23030
Danville,Chatham,VA,12360 US Hwy 29,24531
Hampton,Hampton,VA,16 Nettles Lane,23666
North Seattle,Arlington,WA,16701 51st Ave NE,98223
Graham,Graham,WA,21421 Meridian E,98338
Pasco,Pasco,WA,3333 N Railroad Ave,99301
Spokane,Airway Heights,WA,11019 W Mcfarlane Rd,99001
Charleston,Hurricane,WV,1746 US Rte 60,25526
Milwaukee,Cudahy,WI,4825 S Whitnall Ave,53110
Madison,Madison,WI,5448 Lien Rd,53718
Milwaukee North,Milwaukee,WI,9201 N 107th St,53224
Appleton,Appleton,WI,2500 American Dr,54914
Casper,Casper,WY,1998 Oil Field Center Rd,82604
