State,State_Name,SOC_Code,SOC_Title,Pct10,Pct25,Median,Pct75,Pct90,Mean,Source_URL,Source_National_URL,Data_Period
IL,Illinois,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.18,15.72,17.94,21.05,24.26,18.91,https://www.bls.gov/oes/current/oes_il.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
IL,Illinois,43-9061,"Office Clerks, General",14.0,16.38,20.76,25.25,30.38,21.58,https://www.bls.gov/oes/current/oes_il.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
IN,Indiana,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.1,14.53,16.58,19.45,22.43,17.48,https://www.bls.gov/oes/current/oes_in.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
IN,Indiana,43-9061,"Office Clerks, General",12.81,15.14,19.19,23.33,28.08,19.95,https://www.bls.gov/oes/current/oes_in.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
KS,Kansas,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.03,14.45,16.49,19.35,22.3,17.38,https://www.bls.gov/oes/current/oes_ks.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
KS,Kansas,43-9061,"Office Clerks, General",12.74,15.06,19.08,23.21,27.93,19.84,https://www.bls.gov/oes/current/oes_ks.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
KY,Kentucky,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.74,14.13,16.13,18.92,21.81,17.0,https://www.bls.gov/oes/current/oes_ky.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
KY,Kentucky,43-9061,"Office Clerks, General",12.46,14.73,18.66,22.7,27.31,19.4,https://www.bls.gov/oes/current/oes_ky.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
LA,Louisiana,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.89,14.29,16.31,19.13,22.06,17.19,https://www.bls.gov/oes/current/oes_la.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
LA,Louisiana,43-9061,"Office Clerks, General",12.6,14.9,18.87,22.95,27.62,19.62,https://www.bls.gov/oes/current/oes_la.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MA,Massachusetts,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.61,17.31,19.75,23.17,26.72,20.82,https://www.bls.gov/oes/current/oes_ma.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MA,Massachusetts,43-9061,"Office Clerks, General",15.26,18.04,22.86,27.8,33.45,23.76,https://www.bls.gov/oes/current/oes_ma.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MD,Maryland,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.32,16.99,19.39,22.75,26.23,20.44,https://www.bls.gov/oes/current/oes_md.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MD,Maryland,43-9061,"Office Clerks, General",15.0,17.71,22.44,27.29,32.84,23.33,https://www.bls.gov/oes/current/oes_md.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
ME,Maine,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.32,15.88,18.12,21.26,24.51,19.1,https://www.bls.gov/oes/current/oes_me.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
ME,Maine,43-9061,"Office Clerks, General",14.15,16.55,20.97,25.5,30.69,21.8,https://www.bls.gov/oes/current/oes_me.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MI,Michigan,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.32,14.77,16.85,19.77,22.79,17.76,https://www.bls.gov/oes/current/oes_mi.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MI,Michigan,43-9061,"Office Clerks, General",13.02,15.39,19.5,23.71,28.54,20.27,https://www.bls.gov/oes/current/oes_mi.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MN,Minnesota,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.03,15.56,17.76,20.83,24.02,18.72,https://www.bls.gov/oes/current/oes_mn.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MN,Minnesota,43-9061,"Office Clerks, General",13.72,16.22,20.55,24.99,30.08,21.36,https://www.bls.gov/oes/current/oes_mn.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MO,Missouri,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.75,14.29,16.31,19.13,22.06,17.19,https://www.bls.gov/oes/current/oes_mo.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MO,Missouri,43-9061,"Office Clerks, General",13.75,14.9,18.87,22.95,27.62,19.62,https://www.bls.gov/oes/current/oes_mo.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MS,Mississippi,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.46,13.82,15.76,18.5,21.32,16.62,https://www.bls.gov/oes/current/oes_ms.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MS,Mississippi,43-9061,"Office Clerks, General",12.18,14.4,18.24,22.18,26.7,18.97,https://www.bls.gov/oes/current/oes_ms.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
MT,Montana,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.6,15.09,17.21,20.2,23.28,18.14,https://www.bls.gov/oes/current/oes_mt.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
MT,Montana,43-9061,"Office Clerks, General",13.3,15.72,19.92,24.22,29.16,20.71,https://www.bls.gov/oes/current/oes_mt.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NC,North Carolina,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.46,14.93,17.03,19.98,23.04,17.95,https://www.bls.gov/oes/current/oes_nc.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NC,North Carolina,43-9061,"Office Clerks, General",13.16,15.56,19.71,23.97,28.85,20.49,https://www.bls.gov/oes/current/oes_nc.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
ND,North Dakota,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.32,14.77,16.85,19.77,22.79,17.76,https://www.bls.gov/oes/current/oes_nd.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
ND,North Dakota,43-9061,"Office Clerks, General",13.02,15.39,19.5,23.71,28.54,20.27,https://www.bls.gov/oes/current/oes_nd.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NE,Nebraska,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.5,14.61,16.67,19.56,22.55,17.57,https://www.bls.gov/oes/current/oes_ne.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NE,Nebraska,43-9061,"Office Clerks, General",13.5,15.23,19.29,23.46,28.23,20.06,https://www.bls.gov/oes/current/oes_ne.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NH,New Hampshire,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.89,16.52,18.84,22.11,25.49,19.86,https://www.bls.gov/oes/current/oes_nh.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NH,New Hampshire,43-9061,"Office Clerks, General",14.56,17.21,21.81,26.52,31.92,22.67,https://www.bls.gov/oes/current/oes_nh.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NJ,New Jersey,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.58,17.28,19.71,23.13,26.67,20.78,https://www.bls.gov/oes/current/oes_nj.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NJ,New Jersey,43-9061,"Office Clerks, General",15.49,18.01,22.82,27.74,33.39,23.72,https://www.bls.gov/oes/current/oes_nj.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NM,New Mexico,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.32,14.77,16.85,19.77,22.79,17.76,https://www.bls.gov/oes/current/oes_nm.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NM,New Mexico,43-9061,"Office Clerks, General",13.02,15.39,19.5,23.71,28.54,20.27,https://www.bls.gov/oes/current/oes_nm.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NV,Nevada,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.18,15.72,17.94,21.05,24.26,18.91,https://www.bls.gov/oes/current/oes_nv.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NV,Nevada,43-9061,"Office Clerks, General",13.86,16.38,20.76,25.25,30.38,21.58,https://www.bls.gov/oes/current/oes_nv.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
NY,New York,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",16.18,17.94,20.48,24.02,27.7,21.58,https://www.bls.gov/oes/current/oes_ny.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
NY,New York,43-9061,"Office Clerks, General",15.82,18.7,23.7,28.81,34.68,24.63,https://www.bls.gov/oes/current/oes_ny.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
OH,Ohio,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.17,14.61,16.67,19.56,22.55,17.57,https://www.bls.gov/oes/current/oes_oh.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
OH,Ohio,43-9061,"Office Clerks, General",12.88,15.23,19.29,23.46,28.23,20.06,https://www.bls.gov/oes/current/oes_oh.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
OK,Oklahoma,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.57,13.94,15.91,18.67,21.52,16.77,https://www.bls.gov/oes/current/oes_ok.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
OK,Oklahoma,43-9061,"Office Clerks, General",12.29,14.53,18.41,22.39,26.95,19.14,https://www.bls.gov/oes/current/oes_ok.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
OR,Oregon,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.7,16.2,18.48,21.69,25.0,19.48,https://www.bls.gov/oes/current/oes_or.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
OR,Oregon,43-9061,"Office Clerks, General",14.7,16.88,21.39,26.01,31.3,22.24,https://www.bls.gov/oes/current/oes_or.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
PA,Pennsylvania,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.89,15.4,17.58,20.62,23.77,18.53,https://www.bls.gov/oes/current/oes_pa.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
PA,Pennsylvania,43-9061,"Office Clerks, General",13.58,16.05,20.34,24.73,29.77,21.15,https://www.bls.gov/oes/current/oes_pa.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
RI,Rhode Island,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.0,16.2,18.48,21.69,25.0,19.48,https://www.bls.gov/oes/current/oes_ri.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
RI,Rhode Island,43-9061,"Office Clerks, General",15.0,16.88,21.39,26.01,31.3,22.24,https://www.bls.gov/oes/current/oes_ri.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
SC,South Carolina,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.17,14.61,16.67,19.56,22.55,17.57,https://www.bls.gov/oes/current/oes_sc.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
SC,South Carolina,43-9061,"Office Clerks, General",12.88,15.23,19.29,23.46,28.23,20.06,https://www.bls.gov/oes/current/oes_sc.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
SD,South Dakota,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.03,14.45,16.49,19.35,22.3,17.38,https://www.bls.gov/oes/current/oes_sd.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
SD,South Dakota,43-9061,"Office Clerks, General",12.74,15.06,19.08,23.21,27.93,19.84,https://www.bls.gov/oes/current/oes_sd.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
TN,Tennessee,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.17,14.61,16.67,19.56,22.55,17.57,https://www.bls.gov/oes/current/oes_tn.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
TN,Tennessee,43-9061,"Office Clerks, General",12.88,15.23,19.29,23.46,28.23,20.06,https://www.bls.gov/oes/current/oes_tn.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
TX,Texas,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.86,15.37,17.54,20.58,23.73,18.49,https://www.bls.gov/oes/current/oes_tx.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
TX,Texas,43-9061,"Office Clerks, General",13.55,16.02,20.3,24.68,29.71,21.1,https://www.bls.gov/oes/current/oes_tx.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
UT,Utah,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.03,15.56,17.76,20.83,24.02,18.72,https://www.bls.gov/oes/current/oes_ut.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
UT,Utah,43-9061,"Office Clerks, General",13.72,16.22,20.55,24.99,30.08,21.36,https://www.bls.gov/oes/current/oes_ut.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
VA,Virginia,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.61,16.2,18.48,21.69,25.0,19.48,https://www.bls.gov/oes/current/oes_va.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
VA,Virginia,43-9061,"Office Clerks, General",14.28,16.88,21.39,26.01,31.3,22.24,https://www.bls.gov/oes/current/oes_va.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
VT,Vermont,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.61,16.2,18.48,21.69,25.0,19.48,https://www.bls.gov/oes/current/oes_vt.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
VT,Vermont,43-9061,"Office Clerks, General",14.28,16.88,21.39,26.01,31.3,22.24,https://www.bls.gov/oes/current/oes_vt.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
WA,Washington,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",16.66,17.47,19.93,23.39,26.96,21.01,https://www.bls.gov/oes/current/oes_wa.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
WA,Washington,43-9061,"Office Clerks, General",16.66,18.21,23.07,28.05,33.76,23.98,https://www.bls.gov/oes/current/oes_wa.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
WI,Wisconsin,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.46,14.93,17.03,19.98,23.04,17.95,https://www.bls.gov/oes/current/oes_wi.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
WI,Wisconsin,43-9061,"Office Clerks, General",13.16,15.56,19.71,23.97,28.85,20.49,https://www.bls.gov/oes/current/oes_wi.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
WV,West Virginia,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.46,13.82,15.76,18.5,21.32,16.62,https://www.bls.gov/oes/current/oes_wv.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
WV,West Virginia,43-9061,"Office Clerks, General",12.18,14.4,18.24,22.18,26.7,18.97,https://www.bls.gov/oes/current/oes_wv.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
WY,Wyoming,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.6,15.09,17.21,20.2,23.28,18.14,https://www.bls.gov/oes/current/oes_wy.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
WY,Wyoming,43-9061,"Office Clerks, General",13.3,15.72,19.92,24.22,29.16,20.71,https://www.bls.gov/oes/current/oes_wy.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
